,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
159,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,Y,"1,638","1,598",Y,N,N,N,Y,노원구,37.6287449,127.0572862
160,노원주유소,서울 노원구 동일로 1008 (공릉동),GS칼텍스,N,"1,648","1,599",Y,N,Y,N,N,노원구,37.6304778,127.0901988
161,상계동주유소,서울 노원구 노원로26길 191 (상계동),현대오일뱅크,N,"1,690","1,640",N,N,Y,N,N,노원구,37.65833740000001,127.0711447
162,하계삼호주유소,서울 노원구 공릉로 294 (하계동),GS칼텍스,N,"1,745","1,695",N,N,Y,N,N,노원구,37.6335815,127.0722699
163,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),현대오일뱅크,N,"1,529","1,495",N,N,N,N,N,도봉구,37.674434,127.0440507
164,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,Y,"1,529","1,495",Y,N,Y,N,Y,도봉구,37.6522545,127.0304855
165,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),SK에너지,Y,"1,529","1,495",Y,N,N,N,Y,도봉구,37.6496008,127.0206486
166,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),현대오일뱅크,Y,"1,549","1,495",Y,N,N,N,N,도봉구,37.6630108,127.0363981
167,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),S-OIL,Y,"1,549","1,495",Y,N,Y,N,N,도봉구,37.6668444,127.0434577
168,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,GS칼텍스,Y,"1,550","1,519",Y,N,N,N,Y,도봉구,37.6624409,127.0315058
169,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),GS칼텍스,Y,"1,550","1,529",Y,N,Y,N,Y,도봉구,37.6844111,127.0454986
170,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),S-OIL,Y,"1,557","1,505",N,N,N,N,N,도봉구,37.6468071,127.0394314
